,id_municipio,total,automovel,bonde,caminhao,caminhao trator,caminhonete,camioneta,chassi plataf,ciclomotor,micro-onibus,motocicleta,motoneta,onibus,quadriciclo,reboque,semi-reboque,side-car,outros,trator estei,trator rodas,triciclo,utilitario
5177,2709400,6712.0,2005.0,0.0,131.0,10.0,395.0,119.0,0.0,12.0,29.0,3600.0,173.0,48.0,0.0,135.0,31.0,2.0,0.0,0.0,0.0,0.0,22.0
5178,5000203,9729.0,4192.0,0.0,463.0,151.0,1254.0,260.0,0.0,10.0,44.0,2027.0,555.0,140.0,0.0,291.0,247.0,0.0,1.0,0.0,2.0,3.0,89.0
5179,5000252,3289.0,1057.0,0.0,160.0,18.0,661.0,62.0,0.0,3.0,25.0,956.0,172.0,24.0,0.0,95.0,27.0,0.0,0.0,0.0,1.0,0.0,28.0
5180,5000609,23170.0,9824.0,0.0,954.0,500.0,3033.0,542.0,0.0,47.0,47.0,4488.0,1973.0,109.0,0.0,502.0,846.0,1.0,1.0,0.0,0.0,6.0,297.0
5181,5000708,14246.0,5106.0,0.0,533.0,99.0,1445.0,208.0,0.0,19.0,31.0,4908.0,1259.0,53.0,0.0,352.0,158.0,4.0,4.0,0.0,2.0,2.0,63.0
5182,5000807,4237.0,2188.0,0.0,171.0,25.0,607.0,94.0,0.0,5.0,30.0,683.0,147.0,76.0,0.0,128.0,46.0,1.0,1.0,0.0,0.0,0.0,35.0
5183,5000856,7763.0,3280.0,0.0,372.0,83.0,926.0,132.0,0.0,3.0,53.0,1542.0,537.0,99.0,0.0,367.0,338.0,0.0,0.0,0.0,0.0,0.0,31.0
5184,5000906,4522.0,2192.0,0.0,193.0,96.0,803.0,101.0,0.0,0.0,12.0,756.0,55.0,40.0,0.0,88.0,147.0,0.0,0.0,0.0,0.0,0.0,39.0
5185,5001003,17901.0,7956.0,0.0,544.0,126.0,1689.0,341.0,0.0,73.0,66.0,4069.0,2002.0,108.0,0.0,631.0,135.0,1.0,1.0,0.0,2.0,21.0,136.0
5186,5001102,22449.0,8588.0,0.0,452.0,88.0,2167.0,447.0,0.0,26.0,33.0,7726.0,2017.0,96.0,0.0,523.0,132.0,6.0,3.0,0.0,1.0,5.0,139.0
5187,5001243,3678.0,1580.0,0.0,286.0,115.0,669.0,75.0,0.0,0.0,21.0,545.0,33.0,42.0,0.0,65.0,186.0,1.0,1.0,0.0,0.0,2.0,57.0
5188,5001508,4579.0,2047.0,0.0,275.0,78.0,697.0,118.0,0.0,9.0,18.0,879.0,135.0,53.0,0.0,98.0,128.0,0.0,0.0,0.0,0.0,3.0,41.0
5189,5001904,14659.0,7712.0,0.0,549.0,171.0,1635.0,378.0,0.0,11.0,56.0,2244.0,827.0,252.0,0.0,505.0,204.0,1.0,0.0,0.0,4.0,5.0,105.0
5190,5002001,6477.0,2939.0,0.0,203.0,128.0,671.0,97.0,0.0,4.0,23.0,1507.0,419.0,45.0,0.0,233.0,176.0,0.0,1.0,0.0,0.0,1.0,30.0
5191,5002100,9438.0,4314.0,0.0,421.0,54.0,1286.0,255.0,0.0,6.0,60.0,2196.0,305.0,95.0,0.0,247.0,92.0,1.0,2.0,0.0,0.0,1.0,103.0
5192,5002159,4563.0,1908.0,0.0,159.0,25.0,561.0,98.0,0.0,9.0,29.0,1350.0,177.0,53.0,0.0,74.0,101.0,0.0,0.0,0.0,0.0,0.0,19.0
5193,5002209,14158.0,5401.0,0.0,425.0,98.0,1939.0,372.0,0.0,27.0,85.0,3777.0,1222.0,102.0,0.0,380.0,138.0,0.0,1.0,0.0,1.0,6.0,184.0
5194,5002308,7783.0,3443.0,0.0,326.0,109.0,1049.0,166.0,0.0,10.0,37.0,1524.0,465.0,121.0,0.0,263.0,212.0,0.0,2.0,0.0,0.0,1.0,55.0
5195,5002407,17160.0,7427.0,0.0,772.0,452.0,2041.0,412.0,0.0,17.0,26.0,2829.0,1485.0,244.0,0.0,485.0,798.0,0.0,1.0,0.0,0.0,3.0,168.0
5196,5002605,8997.0,3515.0,0.0,480.0,121.0,1523.0,228.0,0.0,6.0,50.0,2042.0,490.0,56.0,0.0,221.0,192.0,0.0,1.0,0.0,2.0,3.0,67.0
5197,5002704,658813.0,325241.0,10.0,17854.0,6246.0,58564.0,21325.0,24.0,1012.0,1222.0,156741.0,34305.0,2493.0,2.0,13562.0,10002.0,39.0,211.0,1.0,156.0,184.0,9619.0
5198,5002803,2263.0,1034.0,0.0,94.0,9.0,371.0,30.0,0.0,0.0,29.0,533.0,55.0,23.0,0.0,50.0,21.0,0.0,0.0,0.0,0.0,0.0,14.0
