,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
147,4057,27075,27075,21226,19392,5849,7683,25663.0,,21675.0,,3988.0,,24079,24079,18794,17978,5285,6101,1500305
148,4065,17623,17623,13727,12813,3896,4810,16655.0,,13817.0,,2838.0,,16297,16297,12896,11645,3401,4652,1507474
149,4073,40975,40975,33153,32211,7822,8764,37528.0,,31527.0,,6001.0,,35785,35785,30744,29490,5041,6295,1500404
150,4081,28567,28567,20380,20296,8187,8271,27669.0,,20517.0,,7152.0,,26774,26774,18879,18005,7895,8769,1508084
151,4090,23689,23689,17745,16715,5944,6974,23160.0,,18641.0,,4519.0,,22090,22090,16510,15037,5580,7053,1500503
152,4103,26178,26178,19568,19313,6610,6865,25688.0,,19827.0,,5861.0,,24804,24804,18511,17463,6293,7341,1504059
153,4111,89576,89576,65323,65345,24253,24231,86463.0,,62118.0,,24345.0,,79834,79834,59681,57843,20153,21991,1500602
154,4120,20707,20707,14974,14871,5733,5836,20667.0,,16130.0,,4537.0,,19174,19174,13726,12797,5448,6377,1502954
155,4138,21578,21578,15825,14582,5753,6996,20303.0,,16202.0,,4101.0,,19034,19034,13248,12254,5786,6780,1500701
156,4146,17997,17997,13814,13244,4183,4753,17036.0,,13790.0,,3246.0,,16162,16162,12089,11236,4073,4926,1506559
157,4154,348936,348936,287990,285793,60946,63143,330014.0,,262938.0,,67076.0,,322428,322428,276860,269445,45568,52983,1500800
158,4162,5588,5588,4617,4444,971,1144,5177.0,,4569.0,,608.0,,4938,4938,4368,4227,570,711,1505494
159,4170,35887,35887,28862,27093,7025,8794,32787.0,,28113.0,,4674.0,,31370,31370,26965,25075,4405,6295,1500909
160,4189,24113,24113,17820,17344,6293,6769,23827.0,,19183.0,,4644.0,,19296,19296,14126,13265,5170,6031,1503457
161,4197,11645,11645,8275,7594,3370,4051,10752.0,,8363.0,,2389.0,,10423,10423,7291,6303,3132,4120,1501006
162,4200,13285,13285,9009,8699,4276,4586,12073.0,,9009.0,,3064.0,,10276,10276,6452,6259,3824,4017,1503754
163,4219,15997,15997,11923,10599,4074,5398,14935.0,,12317.0,,2618.0,,13642,13642,9487,8257,4155,5385,1501105
164,4227,15183,15183,12198,12468,2985,2715,14441.0,,12137.0,,2304.0,,13794,13794,11843,11740,1951,2054,1501725
165,4235,26547,26547,21205,20209,5342,6338,24831.0,,21013.0,,3818.0,,23547,23547,18985,17512,4562,6035,1501204
166,4243,17198,17198,13835,13578,3363,3620,16340.0,,13905.0,,2435.0,,16064,16064,14382,13935,1682,2129,1506351
167,4251,94687,94687,77908,76670,16779,18017,88274.0,,73004.0,,15270.0,,84369,84369,70625,67947,13744,16422,1501303
168,4260,9799,9799,7641,7683,2158,2116,9344.0,,8157.0,,1187.0,,7467,7467,6447,6284,1020,1183,1500347
169,4278,1065620,1065620,883367,888117,182253,177503,1009731.0,1009731.0,800140.0,800009.0,209591.0,209722.0,990866,990866,871167,869474,119699,121392,1501402
170,4286,11909,11909,8584,8324,3325,3585,11300.0,,8703.0,,2597.0,,10383,10383,7261,6684,3122,3699,1508050
171,4294,46906,46906,38157,37586,8749,9320,44925.0,,37046.0,,7879.0,,40098,40098,33055,32175,7043,7923,1501501
172,4308,7754,7754,5531,5303,2223,2451,7701.0,,6025.0,,1676.0,,7055,7055,4953,4358,2102,2697,1505551
173,4316,12200,12200,10162,9732,2038,2468,11736.0,,10360.0,,1376.0,,10941,10941,9359,8924,1582,2017,1501600
174,4324,20022,20022,14947,14639,5075,5383,18985.0,,15093.0,,3892.0,,17066,17066,12369,11774,4697,5292,1508126
175,4332,89469,89469,70559,68074,18910,21395,83478.0,,67338.0,,16140.0,,80857,80857,66973,63306,13884,17551,1501709
176,4340,19140,19140,14190,13803,4950,5337,18846.0,,15060.0,,3786.0,,17790,17790,13234,12504,4556,5286,1500958
177,4359,73834,73834,55011,50195,18823,23639,69352.0,,54468.0,,14884.0,,62720,62720,45086,39796,17634,22924,1501808
178,4367,14678,14678,10957,10691,3721,3987,13954.0,,11613.0,,2341.0,,13206,13206,9818,9522,3388,3684,1507979
179,4375,21665,21665,17929,17407,3736,4258,20940.0,,17951.0,,2989.0,,19445,19445,15957,14914,3488,4531,1501907
180,4383,23927,23927,16418,16935,7509,6992,22649.0,,15751.0,,6898.0,,19910,19910,13225,12785,6685,7125,1505031
181,4391,18845,18845,14389,13712,4456,5133,17734.0,,14381.0,,3353.0,,17250,17250,13084,11789,4166,5461,1502004
182,4405,14736,14736,11641,11291,3095,3445,13782.0,,11575.0,,2207.0,,11828,11828,10232,9545,1596,2283,1508357
183,4413,100371,100371,83950,81698,16421,18673,93166.0,,79213.0,,13953.0,,89067,89067,74313,70007,14754,19060,1502103
184,4421,45781,45781,33371,32823,12410,12958,43140.0,,33567.0,,9573.0,,40473,40473,28867,26189,11606,14284,1505064
